occupation,women,white,black,asian,hispanic,total
"Other education, training, and library workers",72.6,82.4,12.6,3.5,12.2,28.3
"Arts, design, entertainment, sports, and media occupations",49,82.8,7.7,5.9,11.6,25.2
Artists and related workers,54,86.8,4.5,3.8,11.1,19.4
Designers,54,82.2,5.7,9,11,25.7
Actors,–,–,–,–,–,0
Producers and directors,42.5,86.7,6.4,3.5,8,17.9
"Athletes, coaches, umpires, and related workers",35.3,81.1,9.3,4.3,10.8,24.4
Dancers and choreographers,–,–,–,–,–,0
"Musicians, singers, and related workers",36.7,78.9,12.4,3.9,9.7,26
"Entertainers and performers, sports and related workers, all other",32.8,86.4,5,0.3,7.3,12.6
Announcers,30.4,75.6,15.7,5.3,19.2,40.2
"News analysts, reporters and correspondents",45.1,82.4,6.9,9.7,9.3,25.9
Public relations specialists,63.6,83.6,9.9,5.8,13.6,29.3
Editors,63.3,91.3,3,2.4,10.6,16
Technical writers,57.8,84.2,11.8,2.9,8.8,23.5
Writers and authors,63.5,89.6,5.9,3.4,4.8,14.1
Miscellaneous media and communication workers,66.4,67.8,14.6,11.2,35.3,61.1
Broadcast and sound engineering technicians and radio operators,12,78.3,9.1,7.9,14,31
Photographers,49.3,84.3,8.6,3.5,12.3,24.4
"Television, video, and motion picture camera operators and editors",16.3,83,10.7,0.6,12.7,24
"Media and communication equipment workers, all other",–,–,–,–,–,0
Healthcare practitioners and technical occupations,75.4,75.3,12.5,9.6,9,31.1
Chiropractors,28,86.1,2.8,5.3,6.4,14.5
Dentists,33.9,74.3,0.8,23.6,7.2,31.6
Dietitians and nutritionists,92.1,77.9,15.2,5.9,9,30.1
Optometrists,–,–,–,–,–,0
Pharmacists,60.4,64.5,10.5,22,2.7,35.2
Physicians and surgeons,40.8,72,8.2,18,7.6,33.8
Physician assistants,70.8,84.3,4.5,6.8,8.6,19.9
Podiatrists,–,–,–,–,–,0
Audiologists,–,–,–,–,–,0
Occupational therapists,88,75.7,10.2,12.4,10.2,32.8
Physical therapists,67.9,76.4,5.9,14.1,4,24
Radiation therapists,–,–,–,–,–,0
Recreational therapists,–,–,–,–,–,0
Respiratory therapists,66.8,66.2,23.2,8.9,8.6,40.7
Speech-language pathologists,95.8,93.7,3.9,2.2,6.7,12.8
Exercise physiologists,–,–,–,–,–,0
"Therapists, all other",81.4,81.1,12.2,5.1,11.9,29.2
Veterinarians,68.3,89.8,0,6.1,1.6,7.7
Registered nurses,88.9,75.9,12.4,9.2,7.2,28.8
Nurse anesthetists,–,–,–,–,–,0
Nurse midwives,–,–,–,–,–,0
Nurse practitioners,87.8,76.6,12.2,9.9,2.6,24.7
"Health diagnosing and treating practitioners, all other",–,–,–,–,–,0
Clinical laboratory technologists and technicians,73.8,71.1,15.3,10,13,38.3
Dental hygienists,96,88.2,5.1,5,11.3,21.4
Diagnostic related technologists and technicians,70,76.7,12.8,5.8,9.7,28.3
Emergency medical technicians and paramedics,33.5,86.6,10.5,0.8,11.5,22.8
Health practitioner support technologists and technicians,79,74.7,15.6,5.4,16.5,37.5
Licensed practical and licensed vocational nurses,90.8,67,27,3.3,13.8,44.1
Medical records and health information technicians,93.3,72.8,17.5,6,14.4,37.9
"Opticians, dispensing",–,–,–,–,–,0
Miscellaneous health technologists and technicians,65,64.6,19.6,13.7,16.3,49.6
Other healthcare practitioners and technical occupations,49.5,80.9,12.5,4.3,12.1,28.9
,,,,,,0
Service occupations,57.6,72.2,17.1,5.9,25,48
Healthcare support occupations,86.9,64.2,26.7,5.1,19.1,50.9
"Nursing, psychiatric, and home health aides",88.3,54.3,37.2,4.4,17.6,59.2
Occupational therapy assistants and aides,–,–,–,–,–,0
Physical therapist assistants and aides,63.4,83.2,6.8,6.5,7.2,20.5
Massage therapists,83.6,72.3,8.8,13.1,11.1,33
Dental assistants,94.9,85.5,6.7,3.1,28.9,38.7
Medical assistants,92.7,75.1,15.3,4.8,29,49.1
Medical transcriptionists,–,–,–,–,–,0
Pharmacy aides,–,–,–,–,–,0
Veterinary assistants and laboratory animal caretakers,82.7,97.2,2.1,0.4,3.7,6.2
Phlebotomists,89.3,70.5,24.6,2.9,14.9,42.4
"Miscellaneous healthcare support occupations, including medical equipment preparers",68.1,64.7,25.7,7.1,13.7,46.5
Protective service occupations,22.1,73.9,20.3,2.2,15.3,37.8
First-line supervisors of correctional officers,–,–,–,–,–,0
First-line supervisors of police and detectives,9.9,89.2,7.6,0.4,5.6,13.6
First-line supervisors of fire fighting and prevention workers,–,–,–,–,–,0
"First-line supervisors of protective service workers, all other",25,69.8,20.7,2.2,11.3,34.2
Firefighters,3.3,86.7,8.5,1.3,11.6,21.4
Fire inspectors,–,–,–,–,–,0
"Bailiffs, correctional officers, and jailers",30.1,60.5,34.2,1.7,12.3,48.2
Detectives and criminal investigators,23,82.7,12.7,1.9,8.4,23
Fish and game wardens,–,–,–,–,–,0
Parking enforcement workers,–,–,–,–,–,0
Police and sheriff's patrol officers,17.6,82.9,12.6,1.5,17,31.1
Transit and railroad police,–,–,–,–,–,0
Animal control workers,–,–,–,–,–,0
Private detectives and investigators,47.6,72.6,23.5,3,17.7,44.2
Security guards and gaming surveillance officers,21.5,62.9,29.6,3.5,18.8,51.9
Crossing guards,48.6,76.3,17.6,1.3,21,39.9
Transportation security screeners,–,–,–,–,–,0
"Lifeguards and other recreational, and all other protective service workers",49.4,87.7,6.4,0.7,14.7,21.8
Food preparation and serving related occupations,54.5,73.7,13.9,6.9,27,47.8
Chefs and head cooks,22,63,14.3,16.4,26,56.7
First-line supervisors of food preparation and serving workers,57.4,76.7,14.9,4.8,22.6,42.3
Cooks,41.7,70.4,18.1,6.2,36.7,61
Food preparation workers,59.3,73.5,13.2,8.3,28.1,49.6
Bartenders,53.1,86.1,6.3,2.8,16.5,25.6
"Combined food preparation and serving workers, including fast food",62.4,70.2,19.6,5.4,19.9,44.9
"Counter attendants, cafeteria, food concession, and coffee shop",59.2,76,11.3,5.2,18.6,35.1
Waiters and waitresses,71.3,75.5,11.1,7.6,23.4,42.1
"Food servers, nonrestaurant",66.1,68.4,19.2,6.6,21.6,47.4
Dining room and cafeteria attendants and bartender helpers,40.5,77.1,12.6,6.2,34.2,53
Dishwashers,21,73.4,16.1,4.2,28.9,49.2
"Hosts and hostesses, restaurant, lounge, and coffee shop",82.1,77.6,8.6,4,17.7,30.3
"Food preparation and serving related workers, all other",–,–,–,–,–,0
Building and grounds cleaning and maintenance occupations,42,77.3,14.9,2.9,38.2,56
First-line supervisors of housekeeping and janitorial workers,41.6,78.5,15,3.2,27.5,45.7
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",9.3,88,7.5,1.1,28.1,36.7
Janitors and building cleaners,37.2,74,18.2,3.4,31.6,53.2
Maids and housekeeping cleaners,89,72.2,17.4,4.1,49.2,70.7
Pest control workers,6.7,85.2,8.5,1.6,18.5,28.6
Grounds maintenance workers,6.3,86,8.2,0.9,43.6,52.7
Personal care and service occupations,76.9,69.4,16.1,10.1,18.2,44.4
First-line supervisors of gaming workers,43.2,82.7,9.1,4.1,10.3,23.5
First-line supervisors of personal service workers,68.5,72.4,4.5,19.8,13,37.3
Animal trainers,58.6,86.7,4.6,2,12.3,18.9
Nonfarm animal caretakers,75.1,88.8,5,2.1,12.5,19.6
Gaming services workers,45.1,40.5,19.6,27.3,12.2,59.1
Motion picture projectionists,–,–,–,–,–,0
"Ushers, lobby attendants, and ticket takers",–,–,–,–,–,0
Miscellaneous entertainment attendants and related workers,39.3,79.6,10.8,5.4,15.5,31.7
Embalmers and funeral attendants,–,–,–,–,–,0
"Morticians, undertakers, and funeral directors",–,–,–,–,–,0
Barbers,23,61.8,31.1,4.5,29,64.6
"Hairdressers, hairstylists, and cosmetologists",92.3,77.3,13.9,6.1,17,37
Miscellaneous personal appearance workers,85.5,30.7,7.7,59.2,11.6,78.5
"Baggage porters, bellhops, and concierges",24.3,58.1,26.2,12.4,30.6,69.2
Tour and travel guides,43.6,82.3,1.7,5.5,5.3,12.5
Childcare workers,93.4,76,17.4,3.3,24.6,45.3
Personal care aides,85.6,60.2,25.1,8.4,21.6,55.1
Recreation and fitness workers,63.3,81.6,10.8,3.4,10.2,24.4
Residential advisors,–,–,–,–,–,0
"Personal care and service workers, all other",61.7,73.8,14.3,7,18.1,39.4
,,,,,,0
Sales and office occupations,60.6,78.1,13,5.2,17.1,35.3
Sales and related occupations,48.8,79.8,11.2,5.4,16.7,33.3
First-line supervisors of retail sales workers,45.5,81,9.5,5.5,14.7,29.7
First-line supervisors of non-retail sales workers,27.1,86.2,6.5,5.7,14.4,26.6
Cashiers,71.2,69.2,17.9,7.3,24.1,49.3
Counter and rental clerks,42.6,72.8,18.3,6.6,15.8,40.7
Parts salespersons,12,84.9,10.4,1.3,19.8,31.5
Retail salespersons,48.5,78.9,12.4,4.5,18.7,35.6
Advertising sales agents,49.7,81.9,10.8,3.7,13.7,28.2
Insurance sales agents,50.6,81.2,10.1,5.6,13.4,29.1
"Securities, commodities, and financial services sales agents",30,85.9,5.4,7.5,11.9,24.8
Travel agents,86,81.6,9.5,7.1,6.7,23.3
"Sales representatives, services, all other",30.4,85.2,7.7,5,12.3,25
"Sales representatives, wholesale and manufacturing",27.2,88.8,5.9,3.9,10.9,20.7
"Models, demonstrators, and product promoters",73.3,79.5,11.3,3.1,16,30.4
Real estate brokers and sales agents,58.9,85,7.9,5.2,10.7,23.8
Sales engineers,–,–,–,–,–,0
Telemarketers,–,–,–,–,–,0
"Door-to-door sales workers, news and street vendors, and related workers",59.5,85.4,9.4,1.2,24.9,35.5
"Sales and related workers, all other",42.9,83.9,10.6,1.1,13.9,25.6
Office and administrative support occupations,70.9,76.6,14.5,5,17.5,37
First-line supervisors of office and administrative support workers,68.5,80.2,13.4,3.7,13.3,30.4
"Switchboard operators, including answering service",–,–,–,–,–,0
Telephone operators,–,–,–,–,–,0
"Communications equipment operators, all other",–,–,–,–,–,0
Bill and account collectors,80.8,63.6,30.2,1.3,17.8,49.3
Billing and posting clerks,89.5,81.5,10.3,4.7,15.7,30.7
"Bookkeeping, accounting, and auditing clerks",88.5,85.2,6.9,5.4,13,25.3
Gaming cage workers,–,–,–,–,–,0
Payroll and timekeeping clerks,85.2,79.8,8.4,6.9,17.9,33.2
Procurement clerks,–,–,–,–,–,0
Tellers,84.7,80,9.9,4.8,20,34.7
"Financial clerks, all other",59.7,83.2,10.9,3.8,15.4,30.1
Brokerage clerks,–,–,–,–,–,0
Correspondence clerks,–,–,–,–,–,0
"Court, municipal, and license clerks",75.3,81.6,14.5,1.2,17.3,33
"Credit authorizers, checkers, and clerks",–,–,–,–,–,0
Customer service representatives,64.2,73.3,17.7,5.3,19.6,42.6
"Eligibility interviewers, government programs",80.1,70.1,22.2,1.1,23,46.3
File clerks,83.1,75.3,16.8,4.1,14.2,35.1
"Hotel, motel, and resort desk clerks",74.6,60.7,21.6,7.4,22.3,51.3
"Interviewers, except eligibility and loan",85.5,72.9,18.1,4.7,18.3,41.1
"Library assistants, clerical",81.4,78.2,12,8.9,12.6,33.5
Loan interviewers and clerks,76.8,75.2,16.3,4.3,13.3,33.9
New accounts clerks,–,–,–,–,–,0
Order clerks,53.3,66.9,18.2,9.9,18.3,46.4
"Human resources assistants, except payroll and timekeeping",81.2,74.2,12.7,3.8,18.5,35
Receptionists and information clerks,89.3,75.8,15.4,4.6,21.8,41.8
Reservation and transportation ticket agents and travel clerks,58.9,51.4,27.9,9.1,13.5,50.5
"Information and record clerks, all other",76.9,79.9,13.4,2.3,22.8,38.5
Cargo and freight agents,–,–,–,–,–,0
Couriers and messengers,20.7,73.3,17.4,4.4,21.4,43.2
Dispatchers,53.1,80.8,14.2,2.5,15.2,31.9
"Meter readers, utilities",–,–,–,–,–,0
Postal service clerks,55.1,47.4,35.8,13,6.7,55.5
Postal service mail carriers,36.6,72.7,19.6,5.5,14.4,39.5
"Postal service mail sorters, processors, and processing machine operators",53.3,35.8,42.3,17.8,5.8,65.9
"Production, planning, and expediting clerks",57.7,80,14,3.3,12.5,29.8
"Shipping, receiving, and traffic clerks",34.9,74.7,15.5,4.2,25.1,44.8
Stock clerks and order fillers,37.5,70.3,18.2,5,23.1,46.3
"Weighers, measurers, checkers, and samplers, recordkeeping",47.3,75.8,10.6,8.5,21.1,40.2
Secretaries and administrative assistants,93.2,85.2,8.7,3.5,13.4,25.6
Computer operators,47.5,76.3,11.9,9.1,19.4,40.4
Data entry keyers,73.4,75.1,14.7,6.5,20.3,41.5
Word processors and typists,86,77.8,12.6,3.3,16.1,32
Desktop publishers,–,–,–,–,–,0
Insurance claims and policy processing clerks,81.7,71.3,21.8,2.4,15.5,39.7
"Mail clerks and mail machine operators, except postal service",49.8,67.6,24,4.1,14.2,42.3
"Office clerks, general",82.7,74,13.6,8.6,20.9,43.1
"Office machine operators, except computer",–,–,–,–,–,0
Proofreaders and copy markers,–,–,–,–,–,0
Statistical assistants,42.8,67.4,0,32.3,4.9,37.2
"Office and administrative support workers, all other",74.6,77.7,15.5,3.4,13.6,32.5
,,,,,,0
"Natural resources, construction, and maintenance occupations",5.4,86.2,7.7,2.2,31.9,41.8
"Farming, fishing, and forestry occupations",25.2,89.3,4.4,1.8,47.6,53.8
"First-line supervisors of farming, fishing, and forestry workers",9.4,88.8,1.2,1.3,28.4,30.9
Agricultural inspectors,–,–,–,–,–,0
Animal breeders,–,–,–,–,–,0
"Graders and sorters, agricultural products",64.5,71.2,21.3,3.6,49.9,74.8
Miscellaneous agricultural workers,24.2,92.5,2.6,1.2,54,57.8
Fishers and related fishing workers,–,–,–,–,–,0
Hunters and trappers,–,–,–,–,–,0
Forest and conservation workers,–,–,–,–,–,0
Logging workers,1.8,83.2,2.7,2.9,16,21.6
Construction and extraction occupations,3.5,87.1,7.3,1.6,36.4,45.3
First-line supervisors of construction trades and extraction workers,3.4,88,7.5,1.2,24.8,33.5
Boilermakers,–,–,–,–,–,0
"Brickmasons, blockmasons, and stonemasons",0.7,91.6,5.2,1.2,37.7,44.1
Carpenters,2.8,89.1,5.1,1.5,37.3,43.9
"Carpet, floor, and tile installers and finishers",1.9,90.8,5.1,0.5,59.7,65.3
"Cement masons, concrete finishers, and terrazzo workers",3,89.5,4.4,1.1,53.5,59
Construction laborers,3.5,85.3,8.6,1.6,46.7,56.9
"Paving, surfacing, and tamping equipment operators",–,–,–,–,–,0
Pile-driver operators,–,–,–,–,–,0
Operating engineers and other construction equipment operators,1.7,85.1,8.9,0.9,14.9,24.7
"Drywall installers, ceiling tile installers, and tapers",0.7,91.1,2.5,1.7,67.7,71.9
Electricians,2.2,87.4,6.8,2.6,21.1,30.5
Glaziers,–,–,–,–,–,0
Insulation workers,3.7,91.8,5.9,1.4,43.3,50.6
"Painters, construction and maintenance",8.9,87.4,8.1,0.6,55.5,64.2
Paperhangers,–,–,–,–,–,0
"Pipelayers, plumbers, pipefitters, and steamfitters",2.7,87.1,8.4,0.9,27.1,36.4
Plasterers and stucco masons,–,–,–,–,–,0
Reinforcing iron and rebar workers,–,–,–,–,–,0
Roofers,1.9,87.7,5.2,0.7,50.7,56.6
Sheet metal workers,6.8,89.1,6.7,2.3,28.9,37.9
Structural iron and steel workers,0.9,75.7,11.7,7.8,18.7,38.2
Solar photovoltaic installers,–,–,–,–,–,0
"Helpers, construction trades",5.7,86.6,3.4,4.5,35.2,43.1
Construction and building inspectors,10.4,82,8.3,6.8,12.8,27.9
Elevator installers and repairers,–,–,–,–,–,0
Fence erectors,–,–,–,–,–,0
Hazardous materials removal workers,–,–,–,–,–,0
Highway maintenance workers,3.6,83.6,12.7,0.4,13.3,26.4
Rail-track laying and maintenance equipment operators,–,–,–,–,–,0
Septic tank servicers and sewer pipe cleaners,–,–,–,–,–,0
Miscellaneous construction and related workers,–,–,–,–,–,0
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",–,–,–,–,–,0
"Earth drillers, except oil and gas",–,–,–,–,–,0
"Explosives workers, ordnance handling experts, and blasters",–,–,–,–,–,0
Mining machine operators,2,85.2,9.3,0,13.1,22.4
"Roof bolters, mining",–,–,–,–,–,0
"Roustabouts, oil and gas",–,–,–,–,–,0
Helpers--extraction workers,–,–,–,–,–,0
Other extraction workers,–,–,–,–,–,0
"Installation, maintenance, and repair occupations",3.9,84,9.1,3.3,20.3,32.7
"First-line supervisors of mechanics, installers, and repairers",8.2,85.7,9.9,1.5,16.1,27.5
"Computer, automated teller, and office machine repairers",14,74.7,11.7,9.3,15.9,36.9
Radio and telecommunications equipment installers and repairers,7.6,73.1,15.8,4.9,15,35.7
Avionics technicians,–,–,–,–,–,0
"Electric motor, power tool, and related repairers",–,–,–,–,–,0
"Electrical and electronics installers and repairers, transportation equipment",–,–,–,–,–,0
"Electrical and electronics repairers, industrial and utility",–,–,–,–,–,0
"Electronic equipment installers and repairers, motor vehicles",–,–,–,–,–,0
Electronic home entertainment equipment installers and repairers,–,–,–,–,–,0
Security and fire alarm systems installers,2.9,76.9,14.3,4.6,23.5,42.4
Aircraft mechanics and service technicians,4.8,82.4,10.5,4.8,12.4,27.7
Automotive body and related repairers,2.2,92.4,3.4,1.8,29.6,34.8
Automotive glass installers and repairers,–,–,–,–,–,0
Automotive service technicians and mechanics,1.9,83.8,8.7,3.2,27.7,39.6
Bus and truck mechanics and diesel engine specialists,1.5,87.3,6.5,3.7,14.1,24.3
Heavy vehicle and mobile equipment service technicians and mechanics,1.5,88.3,6,2.6,15.8,24.4
Small engine mechanics,–,–,–,–,–,0
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",1.3,77,12.2,3.6,31,46.8
Control and valve installers and repairers,–,–,–,–,–,0
"Heating, air conditioning, and refrigeration mechanics and installers",1.5,84,9.1,3,20.2,32.3
Home appliance repairers,5.7,86.3,11.7,1.8,18.8,32.3
Industrial and refractory machinery mechanics,4.1,85.6,8.7,2.5,18.1,29.3
"Maintenance and repair workers, general",3.8,83.9,9.4,3.2,20.1,32.7
"Maintenance workers, machinery",–,–,–,–,–,0
Millwrights,5,88.9,7.9,1.8,10.3,20
Electrical power-line installers and repairers,1.6,89.8,3,0.6,15.4,19
Telecommunications line installers and repairers,4.5,82.2,12.5,2.3,24.7,39.5
Precision instrument and equipment repairers,11.6,73.7,11.9,12.6,11.4,35.9
Wind turbine service technicians,–,–,–,–,–,0
"Coin, vending, and amusement machine servicers and repairers",–,–,–,–,–,0
Commercial divers,–,–,–,–,–,0
Locksmiths and safe repairers,–,–,–,–,–,0
Manufactured building and mobile home installers,–,–,–,–,–,0
Riggers,–,–,–,–,–,0
Signal and track switch repairers,–,–,–,–,–,0
